รหัสชนิด,ชื่อวิทยาศาสตร์ที่ค้น,ชื่อที่พบ,ไฟล์,ผู้ถ่าย,สัญญาอนุญาต,ลิงก์สัญญาอนุญาต,ที่มา
7-31170-001-186,Boerhavia diffusa,Boerhavia diffusa,img/plants/186.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/72598676
7-31170-001-187,Sida acuta,Sida acuta,img/plants/187.jpg,Anil Kumar Verma,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/93558236
7-31170-001-188,Tinospora crispa,Tinospora crispa,img/plants/188.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/27558910
7-31170-001-189,Sarcolobus globosus,Sarcolobus globosus,img/plants/189.jpg,Abu Hamas,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,https://www.inaturalist.org/photos/50600040
7-31170-001-190,Careya sphaerica,Careya arborea,img/plants/190.jpg,satish nikam,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://www.inaturalist.org/photos/1538028
7-31170-001-191,Ficus benjamina,Ficus benjamina,img/plants/191.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/68686046
7-31170-001-192,Crassocephalum crepidioides,Crassocephalum crepidioides,img/plants/192.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/58426954
7-31170-001-193,Suregada multiflora,Suregada multiflora,img/plants/193.jpg,ผู้ใช้ iNaturalist,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://www.inaturalist.org/photos/715956
7-31170-001-194,Etlingera elatior,Etlingera elatior,img/plants/194.jpg,Steven Kurniawidjaja,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/8983128
7-31170-001-195,Excoecaria cochinchinensis,Excoecaria cochinchinensis,img/plants/195.jpg,jiab_rawiphan,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/261138141
7-31170-001-196,Tetracera loureiri,Tetracera loureiroi,img/plants/196.jpg,Ong Jyh Seng,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,https://www.inaturalist.org/photos/110653530
7-31170-001-197,Cyperus papyrus,Cyperus papyrus,img/plants/197.jpg,Shaun Swanepoel,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/photos/13488403
7-31170-001-198,Jatropha integerrima,Jatropha integerrima,img/plants/198.jpg,Maribel Armenteros,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/101142590
7-31170-001-199,Cenchrus polystachios,Cenchrus setosus,img/plants/199.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/67045445
7-31170-001-200,Chrysopogon aciculatus,Chrysopogon aciculatus,img/plants/200.jpg,Jeremy James,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/photos/239637782
7-31170-001-201,Phyllanthus emblica,Phyllanthus emblica,img/plants/201.jpg,Mayuresh Kulkarni,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/33996958
7-31170-001-202,Chrysopogon zizanioides,Chrysopogon zizanioides,img/plants/202.jpg,feno,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/13607423
7-31170-001-204,Ficus subpisocarpa,Ficus subpisocarpa,img/plants/204.jpg,Stargazer,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/387373746
