รหัสชนิด,ชื่อวิทยาศาสตร์ที่ค้น,ชื่อที่พบ,ไฟล์,ผู้ถ่าย,สัญญาอนุญาต,ลิงก์สัญญาอนุญาต,ที่มา
7-31170-001-083,Alstonia scholaris,Alstonia scholaris,img/plants/083.jpg,scribblesii,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/46130816
7-31170-001-084,Chlorophytum bichetii,Chlorophytum laxum,img/plants/084.jpg,Shami Narayanan,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/photos/92755048
7-31170-001-085,Pterocarpus indicus,Pterocarpus indicus,img/plants/085.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/65718753
7-31170-001-086,Hemigraphis alternata,Strobilanthes alternata,img/plants/086.jpg,Rui Da Silva Pinto,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/24905793
7-31170-001-087,Spathiphyllum cannifolium,Spathiphyllum cannifolium,img/plants/087.jpg,Apipa,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/151880942
7-31170-001-089,Nelumbo nucifera,Nelumbo nucifera,img/plants/089.jpg,Inessa,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/116385724
7-31170-001-090,Peltophorum pterocarpum,Peltophorum pterocarpum,img/plants/090.jpg,kishore T,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/145183218
7-31170-001-091,Mangifera indica,Mangifera indica,img/plants/091.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/35094040
7-31170-001-092,Lepisanthes rubiginosa,Lepisanthes rubiginosa,img/plants/092.jpg,Cheongweei Gan,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/17826149
7-31170-001-093,Microcos tomentosa,Microcos tomentosa,img/plants/093.jpg,Affan Nasaruddin,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/35867679
7-31170-001-094,Ehretia microphylla,Ehretia microphylla,img/plants/094.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/81967522
7-31170-001-095,Thunbergia affinis,Thunbergia affinis,img/plants/095.jpg,James Kuria NDUNG’U,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/78920721
7-31170-001-096,Asystasia gangetica,Asystasia gangetica,img/plants/096.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/178177515
7-31170-001-097,Bougainvillea spectabilis,Bougainvillea spectabilis,img/plants/097.jpg,Prenn,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,https://www.inaturalist.org/photos/393467193
7-31170-001-098,Barringtonia acutangula,Barringtonia acutangula,img/plants/098.jpg,ผู้ใช้ iNaturalist,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://www.inaturalist.org/photos/864211
7-31170-001-099,Thevetia peruviana,Cascabela thevetia,img/plants/099.jpg,Alan Kwok (King Lun),CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/51171811
7-31170-001-100,Pleomele reflexa,Dracaena reflexa,img/plants/100.jpg,Jean-Philippe BASUYAUX,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/55770016
7-31170-001-101,Alternanthera dentata,Alternanthera brasiliana,img/plants/101.jpg,c_moniq,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/333374281
7-31170-001-102,Dendrobium cumulatum,Dendrobium cumulatum,img/plants/102.jpg,Eerika Schulz,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://www.inaturalist.org/photos/614733852
7-31170-001-103,Ophiopogon jaburan,Ophiopogon jaburan,img/plants/103.jpg,ผู้ใช้ iNaturalist,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://www.inaturalist.org/photos/712452
7-31170-001-104,Afzelia xylocarpa,Afzelia xylocarpa,img/plants/104.jpg,Didier Levasseur,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/148675031
7-31170-001-105,Cassia fistula,Cassia fistula,img/plants/105.jpg,Robin Gwen Agarwal,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/33340060
7-31170-001-106,Melia azedarach,Melia azedarach,img/plants/106.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/33351307
7-31170-001-107,Eucalyptus camaldulensis,Eucalyptus camaldulensis,img/plants/107.jpg,Dean Nicolle,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/246643149
7-31170-001-108,Ixora stricta,Ixora chinensis,img/plants/108.jpg,dfyp ip,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/491941005
7-31170-001-110,Sesbania grandiflora,Sesbania grandiflora,img/plants/110.jpg,Alejandra Flores,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://www.inaturalist.org/photos/14061822
7-31170-001-111,Sauropus androgynus,Breynia androgyna,img/plants/111.jpg,大肚魚,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/25047616
7-31170-001-112,Solanum torvum,Solanum torvum,img/plants/112.jpg,ผู้ใช้ iNaturalist,CC0,https://creativecommons.org/publicdomain/zero/1.0/,https://www.inaturalist.org/photos/116176221
7-31170-001-113,Laportea interrupta,Laportea interrupta,img/plants/113.jpg,Shiwalee Samant,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/70677681
7-31170-001-114,Acalypha indica,Acalypha indica,img/plants/114.jpg,Siddarth Machado,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,https://www.inaturalist.org/photos/48588135
7-31170-001-115,Ocimum tenuiflorum,Ocimum tenuiflorum,img/plants/115.jpg,小铖/Smalltown,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/129609853
7-31170-001-116,Ocimum basilicum,Ocimum basilicum,img/plants/116.jpg,Sune Holt,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/154769884
7-31170-001-117,Carica papaya,Carica papaya,img/plants/117.jpg,annalake99,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/113841397
7-31170-001-118,Biophytum sensitivum,Biophytum sensitivum,img/plants/118.jpg,V C Balakrishnan,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,https://www.inaturalist.org/photos/554094189
7-31170-001-119,Piper aurantiacum,Piper wallichii,img/plants/119.jpg,刘光裕 Liu Guangyu,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,https://www.inaturalist.org/photos/472225652
