รหัสพรรณไม้,ชื่อพรรณไม้,ชื่อวิทยาศาสตร์,ชื่อวงศ์,ลักษณะวิสัย,ลักษณะเด่นของพืช,บริเวณที่พบ
7-31170-001-001/1,น้ำเต้าต้น น้ำเต้าญี่ปุ่น,Crescentia cujete L.,BIGNONIACEAE,ไม้ต้น,ดอกออกตามลำต้น,พื้นที่ศึกษาที่ 1 ข้างอาคารสิ่งแวดล้อม ด้านทิศตะวันออก
7-31170-001-001/2,น้ำเต้าต้น น้ำเต้าญี่ปุ่น,Crescentia cujete L.,BIGNONIACEAE,ไม้ต้น,ดอกออกตามลำต้น,พื้นที่ศึกษาที่ 5 พื้นที่หลังอาคาร 1
7-31170-001-002/1,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 1 ข้างอาคารสิ่งแวดล้อม ด้านทิศตะวันออก
7-31170-001-002/2,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 3 ทิศตะวันตกเฉียงเหนือ ข้างอาคารเกษตร
7-31170-001-002/3,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 3 ทิศตะวันตกเฉียงเหนือ ข้างอาคารเกษตร
7-31170-001-002/4,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 5 พื้นที่หลังอาคาร 1
7-31170-001-002/5,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 5 พื้นที่หลังอาคาร 1
7-31170-001-002/6,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 5 พื้นที่หลังอาคาร 1
7-31170-001-002/7,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 5 พื้นที่หลังอาคาร 1
7-31170-001-002/8,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 5 พื้นที่หลังอาคาร 1
7-31170-001-002/9,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 7 หลังอาคาร 3
7-31170-001-002/10,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 7 หลังอาคาร 3
7-31170-001-002/11,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 7 หลังอาคาร 3
7-31170-001-002/12,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 8 บริเวณอาคาร 4
7-31170-001-002/13,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 8 บริเวณอาคาร 4
7-31170-001-002/14,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 8 บริเวณอาคาร 4
7-31170-001-002/15,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 9 สระน้ำข้างศาลาธรรม
7-31170-001-002/16,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 9 สระน้ำข้างศาลาธรรม
7-31170-001-002/17,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 9 สระน้ำข้างศาลาธรรม
7-31170-001-002/18,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 9 สระน้ำข้างศาลาธรรม
7-31170-001-002/19,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 9 สระน้ำข้างศาลาธรรม
7-31170-001-002/20,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 9 สระน้ำข้างศาลาธรรม
7-31170-001-002/21,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 9 สระน้ำข้างศาลาธรรม
7-31170-001-002/22,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 9 สระน้ำข้างศาลาธรรม
7-31170-001-002/23,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 9 สระน้ำข้างศาลาธรรม
7-31170-001-002/24,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 9 สระน้ำข้างศาลาธรรม
7-31170-001-002/25,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 11 สวนกาญจนาภิเษก
7-31170-001-002/26,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 11 สวนกาญจนาภิเษก
7-31170-001-002/27,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 11 สวนกาญจนาภิเษก
7-31170-001-002/28,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 11 สวนกาญจนาภิเษก
7-31170-001-002/29,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/30,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/31,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/32,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/33,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/34,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/35,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/36,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/37,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/38,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/39,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/40,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/41,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/42,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/43,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/44,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/45,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/46,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/47,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/48,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 12 แปลงเกษตร
7-31170-001-002/49,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 14 บ้านพักครูทิศตะวันตก
7-31170-001-002/50,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 14 บ้านพักครูทิศตะวันตก
7-31170-001-002/51,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 14 บ้านพักครูทิศตะวันตก
7-31170-001-002/52,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 14 บ้านพักครูทิศตะวันตก
7-31170-001-002/53,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 14 บ้านพักครูทิศตะวันตก
7-31170-001-002/54,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 15 เตาเผาถ่าน
7-31170-001-002/55,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 15 เตาเผาถ่าน
7-31170-001-002/56,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 15 เตาเผาถ่าน
7-31170-001-002/57,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 15 เตาเผาถ่าน
7-31170-001-002/58,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 15 เตาเผาถ่าน
7-31170-001-002/59,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 15 เตาเผาถ่าน
7-31170-001-002/60,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 15 เตาเผาถ่าน
7-31170-001-002/61,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/62,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/63,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/64,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/65,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/66,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/67,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/68,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/69,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/70,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/71,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/72,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/73,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/74,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/75,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/76,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/77,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/78,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/79,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/80,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/81,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/82,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/83,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/84,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/85,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/86,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/87,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/88,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/89,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/90,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/91,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/92,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/93,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/94,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/95,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/96,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/97,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/98,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
7-31170-001-002/99,กระถินณรงค์,Acacia auriculaeformis A. Cunn. ex Benth.,LEGUMINOSAE-MIMOSOIDEAE,ไม้ต้น,ลำต้นเหนือดิน ดอกสีเหลืองเหนียว,พื้นที่ศึกษาที่ 16 หอประชุม
